,name,affiliation,homepage,scholarid,citedby,Research Interests,Google Scholar Link,url_picture
830,Allen R. Tannenbaum,Stony Brook University,http://www.iacs.stonybrook.edu/people/affiliates/allen-tannenbaum,w0Vl_lsAAAAJ,32727,"['Medical Imaging', 'Systems and Control', 'Computer Vision', 'Applied Mathematics', 'Image Processing']",https://scholar.google.com/citations?user=w0Vl_lsAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=w0Vl_lsAAAAJ&citpid=3
831,Allen Riddell,Indiana University,https://www.ariddell.org,zDIvI1UAAAAJ,3968,[],https://scholar.google.com/citations?user=zDIvI1UAAAAJ&hl=en,
832,Allen S. Parrish,The University of Alabama,http://cs.ua.edu/people/aparrish,NOSCHOLARPAGE,,,,
833,Allen Van Gelder,Univ. of California - Santa Cruz,https://users.soe.ucsc.edu/~avg,NOSCHOLARPAGE,,,,
834,Allison B. Lewko,Columbia University,http://www.cs.columbia.edu/~allison,NOSCHOLARPAGE,,,,
835,Allison Bishop,Columbia University,http://www.cs.columbia.edu/~allison,NOSCHOLARPAGE,,,,
836,Allison Bishop Lewko,Columbia University,http://www.cs.columbia.edu/~allison,NOSCHOLARPAGE,,,,
837,Allison Sullivan,University of Texas at Arlington,https://allisonius.github.io,omg10AMAAAAJ,162,"['Software Engineering', 'Software Testing', 'Formal Methods', 'Error Recovery']",https://scholar.google.com/citations?user=omg10AMAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=omg10AMAAAAJ&citpid=4
838,Alneu de Andrade Lopes,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/alneu,3ejEglwAAAAJ,1352,"['Artificial Intelligence', 'Machine Learning', 'Data Mining', 'Complex Networks']",https://scholar.google.com/citations?user=3ejEglwAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=3ejEglwAAAAJ&citpid=2
839,Alois C. Knoll,TU Munich,http://www6.in.tum.de/Main/Knoll,NOSCHOLARPAGE,,,,
840,Alois Knoll,TU Munich,http://www6.in.tum.de/Main/Knoll,NOSCHOLARPAGE,,,,
841,Alois Zoitl,JKU Linz,https://www.jku.at/linz-institute-of-technology/forschung/research-labs/cyber-physical-systems-lab/team/univ-prof-di-dr-alois-zoitl,OG52DQ8AAAAJ,3943,"['Industrial Automation', 'IEC 61499', 'OPC UA', 'TSN', 'Service-oriented automation architectures']",https://scholar.google.com/citations?user=OG52DQ8AAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=OG52DQ8AAAAJ&citpid=3
842,Alok N. Choudhary,Northwestern University,http://www.eecs.northwestern.edu/~choudhar,q0nuNrEAAAAJ,,,,
843,Alon Efrat,University of Arizona,http://www.cs.arizona.edu/people/alon,QH90248AAAAJ,5257,"['computational geometry', 'sensor networks', 'networks vulnerability', 'video browsing and educational multimedia']",https://scholar.google.com/citations?user=QH90248AAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QH90248AAAAJ&citpid=3
844,Alon Keinan,Cornell University,http://keinanlab.cb.bscb.cornell.edu,rS0EX5EAAAAJ,42001,"['computational genomics', 'population genetics', 'statistical genetics', 'deep learning', 'human genetics']",https://scholar.google.com/citations?user=rS0EX5EAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rS0EX5EAAAAJ&citpid=2
845,Alon Orlitsky,Univ. of California - San Diego,http://jacobsdev.ucsd.edu/faculty/faculty_bios/index.sfe?fmp_recid=54,NOSCHOLARPAGE,,,,
846,Alona Fyshe,University of Alberta,http://webdocs.cs.ualberta.ca/~alona,Vw8z7qwAAAAJ,1104,"['Machine Learning', 'Neuroscience', 'Computational Biology', 'Natural Language Processing']",https://scholar.google.com/citations?user=Vw8z7qwAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Vw8z7qwAAAAJ&citpid=4
847,Alonzo Kelly,Carnegie Mellon University,http://www.frc.ri.cmu.edu/users/alonzo,W7yeGUoAAAAJ,13656,"['robotics', 'navigation']",https://scholar.google.com/citations?user=W7yeGUoAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=W7yeGUoAAAAJ&citpid=2
848,Aloysius K. Mok,University of Texas at Austin,https://www.cs.utexas.edu/users/mok,M6urChQAAAAJ,14863,"['Real-time Systems', 'Cyber-physical Systems', 'Wireless Communication']",https://scholar.google.com/citations?user=M6urChQAAAAJ&hl=en,
849,Aloysius Ka-Lau Mok,University of Texas at Austin,https://www.cs.utexas.edu/users/mok,M6urChQAAAAJ,14863,"['Real-time Systems', 'Cyber-physical Systems', 'Wireless Communication']",https://scholar.google.com/citations?user=M6urChQAAAAJ&hl=en,
850,Alper Sen 0001,Boğaziçi University,https://www.cmpe.boun.edu.tr/~sen,yfdctbkAAAAJ,760,"['Verification', 'Software Testing', 'Parallel and Distributed Systems', 'Multicore and Embedded Systems']",https://scholar.google.com/citations?user=yfdctbkAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yfdctbkAAAAJ&citpid=4
851,Alper Üngör,University of Florida,https://www.cise.ufl.edu/people/faculty/ungor,8JZZclQAAAAJ,153,"['Inverse Problems', 'Compressive Sensing', 'Computational Imaging', 'Optimization']",https://scholar.google.com/citations?user=8JZZclQAAAAJ&hl=en,
852,Alptekin Küpçü,Koç University,http://home.ku.edu.tr/~akupcu,lr806D4AAAAJ,2836,"['Cryptography', 'Security', 'Privacy', 'Cloud Computing', 'Game Theory']",https://scholar.google.com/citations?user=lr806D4AAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lr806D4AAAAJ&citpid=1
853,Alun D. Preece,Cardiff University,https://www.cardiff.ac.uk/people/view/91745-preece-alun,jKz-U3wAAAAJ,5951,"['situational understanding', 'artificial intelligence', 'human-computer collaboration']",https://scholar.google.com/citations?user=jKz-U3wAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=jKz-U3wAAAAJ&citpid=4
854,Alva L. Couch,Tufts University,http://www.cs.tufts.edu/~couch,7oJoP0IAAAAJ,1181,"['Operating Systems', 'Systems and Network Management', 'Hydroinformatics']",https://scholar.google.com/citations?user=7oJoP0IAAAAJ&hl=en,
855,Alvaro A. A. Fernandes,University of Manchester,http://www.cs.man.ac.uk/~alvaro,49SnpokAAAAJ,3398,"['Databases', 'Query Processing', 'Sensor Networks', 'Information Integration']",https://scholar.google.com/citations?user=49SnpokAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=49SnpokAAAAJ&citpid=5
